machine_id,time_stamp,cpu_util_percent
m_1934,197030,77
m_1935,197070,71
m_1947,197030,74
m_1948,197030,73
m_2079,197000,74
m_2080,197010,79
m_2081,197000,78
m_2082,197030,74
m_2083,197020,75
m_2084,197110,73
m_2086,197010,71
m_2088,197020,73
m_2089,197110,76
m_2090,197320,65
m_2091,197050,74
m_2092,197060,80
m_2093,197410,75
m_1949,197040,79
m_1950,197080,58
m_1951,197050,77
m_1952,197030,80
m_1953,197080,77
m_1954,197040,68
m_1955,197090,62
m_1956,197110,72
m_1957,197070,68
m_1958,197100,85
m_1959,197040,76
m_1960,197040,80
m_1961,197340,58
m_1936,197160,71
m_1962,197080,81
m_1963,197000,70
m_1964,197040,66
m_1967,197100,71
m_1968,197260,64
m_1969,197020,71
m_1970,197290,61
m_1972,197170,67
m_1973,197060,69
m_1974,197230,58
m_1976,197030,71
m_1937,197070,79
m_1938,197220,67
m_1977,197070,79
m_1978,197030,72
m_1979,197050,76
m_1981,197010,81
m_1982,197170,59
m_1983,197050,82
