,instance_name,task_name,job_name,task_type,status,start_time,end_time,machine_id,seq_no,total_seq_no,cpu_avg,cpu_max,mem_avg,mem_max
2,ins_165114177,J8_4_7,j_218745,1,Terminated,284585,284904,m_1037,1,1,61.0,105.0,0.51,0.73
8,ins_1243228232,J8_4_7,j_218745,1,Terminated,284586,284865,m_3416,1,1,71.0,103.0,0.49,0.73
10,ins_1260193262,J8_4_7,j_218745,1,Terminated,284587,284899,m_2076,1,1,63.0,103.0,0.51,0.73
23,ins_84277068,J8_4_7,j_218745,1,Terminated,284595,284890,m_301,1,1,65.0,111.0,0.5,0.73
29,ins_1206157414,J8_4_7,j_218745,1,Terminated,284584,284818,m_3544,1,1,81.0,111.0,0.48,0.73
30,ins_246982164,J8_4_7,j_218745,1,Terminated,284585,284968,m_334,1,1,53.0,100.0,0.51,0.73
42,ins_800042860,J8_4_7,j_218745,1,Terminated,284584,284859,m_3171,1,1,72.0,102.0,0.5,0.73
44,ins_74166950,J8_4_7,j_218745,1,Terminated,284592,284875,m_1954,1,1,74.0,98.0,0.48,0.73
51,ins_879199690,J8_4_7,j_218745,1,Terminated,284586,284831,m_2746,1,1,78.0,106.0,0.47,0.74
62,ins_165113610,J8_4_7,j_218745,1,Terminated,284592,284898,m_2953,1,1,66.0,102.0,0.49,0.73
78,ins_472352390,J8_4_7,j_218745,1,Terminated,284587,284947,m_2292,1,1,56.0,94.0,0.5,0.73
87,ins_1288080858,J8_4_7,j_218745,1,Terminated,284585,284867,m_1168,1,1,71.0,100.0,0.49,0.73
100,ins_924651007,J8_4_7,j_218745,1,Terminated,284588,284822,m_751,1,1,79.0,109.0,0.47,0.73
104,ins_989606356,J8_4_7,j_218745,1,Terminated,284586,284901,m_722,1,1,65.0,98.0,0.48,0.73
109,ins_1062205672,J8_4_7,j_218745,1,Terminated,284585,284919,m_32,1,1,60.0,99.0,0.5,0.73
111,ins_282486622,J8_4_7,j_218745,1,Terminated,284591,284862,m_759,1,1,72.0,110.0,0.5,0.73
130,ins_454995358,J8_4_7,j_218745,1,Terminated,284586,284861,m_1273,1,1,71.0,107.0,0.48,0.73
131,ins_65609483,J8_4_7,j_218745,1,Terminated,284590,285123,m_348,1,1,38.0,98.0,0.5,0.73
132,ins_84276547,J8_4_7,j_218745,1,Terminated,284588,284869,m_80,1,1,71.0,100.0,0.48,0.73
138,ins_1006273916,J8_4_7,j_218745,1,Terminated,284588,284873,m_2440,1,1,69.0,108.0,0.5,0.73
152,ins_708534401,J8_4_7,j_218745,1,Terminated,284587,284893,m_1782,1,1,63.0,102.0,0.51,0.74
161,ins_608366106,J8_4_7,j_218745,1,Terminated,284587,284866,m_1348,1,1,71.0,104.0,0.48,0.73
167,ins_309652004,J8_4_7,j_218745,1,Terminated,284594,284931,m_155,1,1,59.0,101.0,0.5,0.73
171,ins_536315723,J8_4_7,j_218745,1,Terminated,284588,284827,m_3775,1,1,77.0,110.0,0.48,0.73
180,ins_455292670,J8_4_7,j_218745,1,Terminated,284588,284855,m_738,1,1,77.0,99.0,0.48,0.73
181,ins_881387456,J8_4_7,j_218745,1,Terminated,284585,284823,m_1786,1,1,79.0,104.0,0.47,0.73
185,ins_1006273569,J8_4_7,j_218745,1,Terminated,284587,285061,m_473,1,1,45.0,88.0,0.49,0.73
191,ins_1006273835,J8_4_7,j_218745,1,Terminated,284585,284949,m_2953,1,1,55.0,100.0,0.5,0.73
194,ins_1341575399,J8_4_7,j_218745,1,Terminated,284590,285002,m_1081,1,1,52.0,97.0,0.51,0.73
207,ins_165113700,J8_4_7,j_218745,1,Terminated,284589,284885,m_4020,1,1,69.0,97.0,0.49,0.73
217,ins_1260495864,J8_4_7,j_218745,1,Terminated,284589,284911,m_2993,1,1,61.0,101.0,0.5,0.73
218,ins_201147879,J8_4_7,j_218745,1,Terminated,284584,284834,m_2880,1,1,74.0,111.0,0.48,0.73
220,ins_782192908,J8_4_7,j_218745,1,Terminated,284587,284892,m_2656,1,1,61.0,106.0,0.5,0.73
230,ins_955898597,J8_4_7,j_218745,1,Terminated,284588,284889,m_3750,1,1,68.0,108.0,0.49,0.73
235,ins_416741618,J8_4_7,j_218745,1,Terminated,284594,284887,m_1953,1,1,70.0,101.0,0.49,0.73
236,ins_1091050785,J8_4_7,j_218745,1,Terminated,284586,284907,m_2704,1,1,61.0,103.0,0.49,0.73
237,ins_908284079,J8_4_7,j_218745,1,Terminated,284594,284877,m_2015,1,1,67.0,109.0,0.49,0.73
241,ins_334312510,J8_4_7,j_218745,1,Terminated,284589,284862,m_366,1,1,70.0,101.0,0.49,0.73
247,ins_1080544799,J8_4_7,j_218745,1,Terminated,284591,284872,m_2651,1,1,70.0,107.0,0.5,0.73
260,ins_880789107,J8_4_7,j_218745,1,Terminated,284587,284917,m_3852,1,1,60.0,102.0,0.5,0.73
264,ins_782192750,J8_4_7,j_218745,1,Terminated,284586,284903,m_1137,1,1,66.0,101.0,0.5,0.73
270,ins_1087328751,J8_4_7,j_218745,1,Terminated,284591,284918,m_237,1,1,61.0,150.0,0.5,0.73
272,ins_363468664,J8_4_7,j_218745,1,Terminated,284584,284820,m_3743,1,1,78.0,108.0,0.49,0.73
274,ins_410978440,J8_4_7,j_218745,1,Terminated,284587,284855,m_4014,1,1,75.0,101.0,0.48,0.73
280,ins_1313951813,J8_4_7,j_218745,1,Terminated,284588,284835,m_1781,1,1,74.0,110.0,0.49,0.73
293,ins_955899469,J8_4_7,j_218745,1,Terminated,284584,284838,m_877,1,1,73.0,109.0,0.5,0.73
294,ins_843308946,J8_4_7,j_218745,1,Terminated,284589,284932,m_93,1,1,59.0,97.0,0.49,0.73
311,ins_1150816865,J8_4_7,j_218745,1,Terminated,284588,284829,m_3916,1,1,81.0,106.0,0.48,0.73
321,ins_1224909810,J8_4_7,j_218745,1,Terminated,284587,284886,m_3113,1,1,62.0,113.0,0.5,0.73
327,ins_38066543,J8_4_7,j_218745,1,Terminated,284592,284845,m_1919,1,1,75.0,108.0,0.47,0.73
335,ins_1152320792,J8_4_7,j_218745,1,Terminated,284589,284895,m_1264,1,1,67.0,98.0,0.48,0.73
340,ins_282110691,J8_4_7,j_218745,1,Terminated,284587,284858,m_1119,1,1,74.0,99.0,0.47,0.73
342,ins_165113795,J8_4_7,j_218745,1,Terminated,284586,284883,m_991,1,1,63.0,111.0,0.5,0.73
344,ins_705817275,J8_4_7,j_218745,1,Terminated,284592,284898,m_1222,1,1,60.0,107.0,0.49,0.73
347,ins_119415451,J8_4_7,j_218745,1,Terminated,284586,284928,m_1735,1,1,59.0,100.0,0.49,0.73
360,ins_337171434,J8_4_7,j_218745,1,Terminated,284590,284816,m_2976,1,1,83.0,107.0,0.47,0.73
373,ins_2941542,J8_4_7,j_218745,1,Terminated,284590,284879,m_3600,1,1,70.0,104.0,0.49,0.73
375,ins_335390509,J8_4_7,j_218745,1,Terminated,284591,284879,m_2954,1,1,69.0,102.0,0.49,0.73
377,ins_1287479964,J8_4_7,j_218745,1,Terminated,284584,284944,m_634,1,1,56.0,101.0,0.51,0.73
378,ins_322609356,J8_4_7,j_218745,1,Terminated,284586,284934,m_1328,1,1,59.0,97.0,0.49,0.73
384,ins_863523656,J8_4_7,j_218745,1,Terminated,284590,284921,m_2999,1,1,60.0,107.0,0.5,0.73
387,ins_553661854,J8_4_7,j_218745,1,Terminated,284591,284932,m_9,1,1,57.0,105.0,0.51,0.73
390,ins_337174712,J8_4_7,j_218745,1,Terminated,284589,284912,m_3751,1,1,60.0,102.0,0.51,0.73
391,ins_84276817,J8_4_7,j_218745,1,Terminated,284586,284914,m_1929,1,1,58.0,104.0,0.51,0.73
396,ins_608365839,J8_4_7,j_218745,1,Terminated,284585,284968,m_766,1,1,53.0,101.0,0.51,0.73
408,ins_1033847352,J8_4_7,j_218745,1,Terminated,284593,284868,m_2358,1,1,73.0,100.0,0.48,0.73
414,ins_761976244,J8_4_7,j_218745,1,Terminated,284589,284956,m_3227,1,1,54.0,103.0,0.51,0.73
434,ins_708535063,J8_4_7,j_218745,1,Terminated,284585,284876,m_2911,1,1,64.0,109.0,0.5,0.73
436,ins_390996114,J8_4_7,j_218745,1,Terminated,284585,284864,m_3550,1,1,73.0,98.0,0.49,0.73
442,ins_1018101899,J8_4_7,j_218745,1,Terminated,284589,284866,m_4031,1,1,71.0,100.0,0.47,0.73
447,ins_1232588338,J8_4_7,j_218745,1,Terminated,284585,285014,m_1081,1,1,50.0,100.0,0.48,0.73
452,ins_1087621511,J8_4_7,j_218745,1,Terminated,284589,284939,m_246,1,1,56.0,99.0,0.5,0.73
456,ins_536315888,J8_4_7,j_218745,1,Terminated,284586,284861,m_1130,1,1,73.0,100.0,0.49,0.73
458,ins_1115198966,J8_4_7,j_218745,1,Terminated,284587,284866,m_1447,1,1,71.0,125.0,0.49,0.73
462,ins_309652750,J8_4_7,j_218745,1,Terminated,284588,284867,m_1710,1,1,71.0,107.0,0.5,0.73
465,ins_1243228145,J8_4_7,j_218745,1,Terminated,284585,284904,m_1490,1,1,60.0,109.0,0.5,0.73
467,ins_335390329,J8_4_7,j_218745,1,Terminated,284587,284926,m_2901,1,1,60.0,99.0,0.49,0.73
470,ins_455292328,J8_4_7,j_218745,1,Terminated,284589,284884,m_3193,1,1,71.0,94.0,0.47,0.73
471,ins_316595867,J8_4_7,j_218745,1,Terminated,284589,284850,m_1984,1,1,73.0,101.0,0.48,0.73
472,ins_419271327,J8_4_7,j_218745,1,Terminated,284587,284853,m_3252,1,1,76.0,97.0,0.48,0.73
480,ins_588990262,J8_4_7,j_218745,1,Terminated,284591,284863,m_2349,1,1,70.0,104.0,0.48,0.73
485,ins_146960276,J8_4_7,j_218745,1,Terminated,284587,284875,m_3116,1,1,71.0,102.0,0.48,0.73
486,ins_1005972065,J8_4_7,j_218745,1,Terminated,284591,284871,m_1828,1,1,71.0,103.0,0.49,0.73
488,ins_1232588103,J8_4_7,j_218745,1,Terminated,284584,284915,m_3541,1,1,58.0,101.0,0.49,0.73
498,ins_512997738,J8_4_7,j_218745,1,Terminated,284584,284859,m_2511,1,1,69.0,106.0,0.5,0.73
515,ins_345381293,J8_4_7,j_218745,1,Terminated,284594,284882,m_2860,1,1,69.0,105.0,0.49,0.73
522,ins_571734269,J8_4_7,j_218745,1,Terminated,284588,284913,m_266,1,1,61.0,100.0,0.5,0.73
527,ins_952524125,J8_4_7,j_218745,1,Terminated,284590,284990,m_2619,1,1,50.0,97.0,0.51,0.73
537,ins_1115198669,J8_4_7,j_218745,1,Terminated,284584,284874,m_503,1,1,67.0,102.0,0.49,0.73
542,ins_200772891,J8_4_7,j_218745,1,Terminated,284592,284904,m_2936,1,1,67.0,120.0,0.48,0.73
543,ins_1260192957,J8_4_7,j_218745,1,Terminated,284590,284955,m_2489,1,1,55.0,98.0,0.5,0.73
558,ins_1232588556,J8_4_7,j_218745,1,Terminated,284586,284885,m_1824,1,1,68.0,101.0,0.48,0.73
566,ins_182673352,J8_4_7,j_218745,1,Terminated,284592,284866,m_2582,1,1,73.0,101.0,0.48,0.73
567,ins_1233639091,J8_4_7,j_218745,1,Terminated,284591,284983,m_411,1,1,51.0,99.0,0.47,0.73
571,ins_571733931,J8_4_7,j_218745,1,Terminated,284585,284926,m_541,1,1,58.0,100.0,0.5,0.73
574,ins_690841593,J8_4_7,j_218745,1,Terminated,284585,284864,m_2654,1,1,71.0,105.0,0.48,0.73
585,ins_800043254,J8_4_7,j_218745,1,Terminated,284586,284905,m_1874,1,1,65.0,99.0,0.47,0.73
589,ins_692777360,J8_4_7,j_218745,1,Terminated,284584,284852,m_2232,1,1,72.0,105.0,0.5,0.73
600,ins_508360934,J8_4_7,j_218745,1,Terminated,284586,284890,m_2011,1,1,62.0,106.0,0.51,0.73
608,ins_1125397777,J8_4_7,j_218745,1,Terminated,284588,284929,m_3247,1,1,59.0,102.0,0.51,0.73
612,ins_334310046,J8_4_7,j_218745,1,Terminated,284587,284917,m_44,1,1,61.0,100.0,0.5,0.73
613,ins_327803294,J8_4_7,j_218745,1,Terminated,284587,284873,m_1824,1,1,70.0,98.0,0.48,0.73
614,ins_318208268,J8_4_7,j_218745,1,Terminated,284591,284902,m_2062,1,1,64.0,101.0,0.45,0.74
623,ins_936765272,J8_4_7,j_218745,1,Terminated,284586,284925,m_1518,1,1,59.0,107.0,0.51,0.73
640,ins_409085027,J8_4_7,j_218745,1,Terminated,284588,284921,m_1761,1,1,61.0,99.0,0.51,0.73
641,ins_264020985,J8_4_7,j_218745,1,Terminated,284588,284920,m_2454,1,1,59.0,101.0,0.51,0.73
689,ins_1070945707,J8_4_7,j_218745,1,Terminated,284590,284864,m_2330,1,1,71.0,100.0,0.49,0.73
690,ins_680630677,J8_4_7,j_218745,1,Terminated,284588,284857,m_1462,1,1,74.0,101.0,0.47,0.73
695,ins_1287480508,J8_4_7,j_218745,1,Terminated,284587,284918,m_3236,1,1,58.0,100.0,0.5,0.73
709,ins_980873566,J8_4_7,j_218745,1,Terminated,284587,284909,m_1557,1,1,61.0,102.0,0.5,0.73
711,ins_924650717,J8_4_7,j_218745,1,Terminated,284594,284927,m_698,1,1,63.0,100.0,0.49,0.74
712,ins_871196505,J8_4_7,j_218745,1,Terminated,284592,284865,m_1758,1,1,74.0,99.0,0.48,0.73
721,ins_1125397846,J8_4_7,j_218745,1,Terminated,284585,284825,m_1786,1,1,79.0,105.0,0.47,0.73
726,ins_65608574,J8_4_7,j_218745,1,Terminated,284588,284869,m_2490,1,1,70.0,106.0,0.5,0.73
728,ins_228319006,J8_4_7,j_218745,1,Terminated,284585,284918,m_2500,1,1,60.0,101.0,0.49,0.73
731,ins_416742112,J8_4_7,j_218745,1,Terminated,284586,284898,m_3398,1,1,58.0,107.0,0.51,0.73
740,ins_390996582,J8_4_7,j_218745,1,Terminated,284584,284810,m_1690,1,1,83.0,111.0,0.48,0.73
749,ins_410979984,J8_4_7,j_218745,1,Terminated,284592,284870,m_3896,1,1,71.0,102.0,0.49,0.73
750,ins_1180814665,J8_4_7,j_218745,1,Terminated,284589,284869,m_1464,1,1,71.0,102.0,0.48,0.73
752,ins_855438230,J8_4_7,j_218745,1,Terminated,284587,284840,m_42,1,1,75.0,104.0,0.48,0.73
757,ins_155526629,J8_4_7,j_218745,1,Terminated,284588,284887,m_1931,1,1,69.0,104.0,0.48,0.73
762,ins_908283610,J8_4_7,j_218745,1,Terminated,284584,284827,m_2493,1,1,78.0,114.0,0.46,0.73
764,ins_246982253,J8_4_7,j_218745,1,Terminated,284591,284926,m_1772,1,1,61.0,112.0,0.5,0.73
765,ins_498077856,J8_4_7,j_218745,1,Terminated,284584,284800,m_3782,1,1,87.0,107.0,0.47,0.73
767,ins_1206759473,J8_4_7,j_218745,1,Terminated,284588,284896,m_2777,1,1,64.0,102.0,0.49,0.73
770,ins_800043574,J8_4_7,j_218745,1,Terminated,284585,284906,m_2706,1,1,57.0,108.0,0.52,0.73
771,ins_800042789,J8_4_7,j_218745,1,Terminated,284585,284849,m_3179,1,1,74.0,106.0,0.5,0.73
802,ins_65301796,J8_4_7,j_218745,1,Terminated,284587,284947,m_2368,1,1,56.0,98.0,0.5,0.73
818,ins_410982963,J8_4_7,j_218745,1,Terminated,284591,284951,m_1466,1,1,56.0,96.0,0.51,0.73
846,ins_1243228498,J8_4_7,j_218745,1,Terminated,284585,284900,m_3953,1,1,64.0,100.0,0.49,0.73
853,ins_1125397694,J8_4_7,j_218745,1,Terminated,284587,284910,m_3801,1,1,60.0,100.0,0.5,0.73
855,ins_588990025,J8_4_7,j_218745,1,Terminated,284589,284942,m_3513,1,1,57.0,101.0,0.5,0.73
863,ins_1233638725,J8_4_7,j_218745,1,Terminated,284586,284907,m_2973,1,1,60.0,125.0,0.51,0.73
864,ins_527027764,J8_4_7,j_218745,1,Terminated,284590,284849,m_3029,1,1,75.0,104.0,0.48,0.73
866,ins_1206759211,J8_4_7,j_218745,1,Terminated,284592,284855,m_1514,1,1,77.0,104.0,0.47,0.73
874,ins_871195939,J8_4_7,j_218745,1,Terminated,284585,284924,m_2218,1,1,61.0,104.0,0.5,0.73
888,ins_165633209,J8_4_7,j_218745,1,Terminated,284585,284891,m_1547,1,1,67.0,100.0,0.48,0.73
894,ins_592568469,J8_4_7,j_218745,1,Terminated,284588,284840,m_1977,1,1,76.0,107.0,0.47,0.73
895,ins_1124813663,J8_4_7,j_218745,1,Terminated,284588,284857,m_307,1,1,72.0,133.0,0.49,0.73
911,ins_1260193436,J8_4_7,j_218745,1,Terminated,284590,284898,m_991,1,1,60.0,106.0,0.49,0.73
916,ins_700868461,J8_4_7,j_218745,1,Terminated,284585,284850,m_2159,1,1,75.0,99.0,0.48,0.74
917,ins_84276732,J8_4_7,j_218745,1,Terminated,284587,284907,m_453,1,1,60.0,104.0,0.49,0.73
920,ins_692776167,J8_4_7,j_218745,1,Terminated,284587,284901,m_184,1,1,59.0,106.0,0.51,0.73
933,ins_1260495138,J8_4_7,j_218745,1,Terminated,284591,284897,m_226,1,1,63.0,109.0,0.5,0.73
934,ins_146656158,J8_4_7,j_218745,1,Terminated,284585,284852,m_3076,1,1,73.0,106.0,0.49,0.73
941,ins_1087621591,J8_4_7,j_218745,1,Terminated,284587,284905,m_3943,1,1,60.0,150.0,0.5,0.73
956,ins_65609067,J8_4_7,j_218745,1,Terminated,284586,284956,m_679,1,1,54.0,98.0,0.5,0.73
962,ins_246469874,J8_4_7,j_218745,1,Terminated,284588,284903,m_4013,1,1,62.0,104.0,0.5,0.74
973,ins_1143582971,J8_4_7,j_218745,1,Terminated,284584,284831,m_587,1,1,77.0,108.0,0.49,0.73
986,ins_908284930,J8_4_7,j_218745,1,Terminated,284590,284942,m_621,1,1,58.0,93.0,0.51,0.73
987,ins_962098721,J8_4_7,j_218745,1,Terminated,284586,284875,m_1790,1,1,70.0,102.0,0.49,0.73
